census_tract,num_bll_indicator,perc_bll_indicator,num_bll,tract_name,imprisonment_rt,total_pop_2020,male_population,median_age,white,black,native_am,asian,pac_islander,other_race,age_0_to_14,age_15_to_29,age_30_to_44,age_45_to_64,perc_male,med_income,POC_other,race_categorical
06065041415,1,0.42194092827004215,237,"Riverside County, Census Tract 414.15",264,4530,2213,38.3,34.3,6.4,1.4,17.1,0.2,23.2,19.4,20,20,29.4,48.852097130242825,122675,31,above_median_poc_other
06085503116,5,1.7006802721088436,294,"Santa Clara County, Census Tract 5031.16",155,5785,2815,37.1,28,4.1,1,39.4,0.4,15.3,15.399999999999999,20.599999999999998,24.599999999999998,25.4,48.66032843560934,110301,20.4,below_median_poc_other
06065042404,2,1.2422360248447204,161,"Riverside County, Census Tract 424.04",1023,2515,1217,30.2,21.1,16.7,2.8,3,0.9,39.6,24.2,25.599999999999998,19.7,21.3,48.389662027833005,61397,59.1,above_median_poc_other
06085503315,4,1.0050251256281406,398,"Santa Clara County, Census Tract 5033.15",233,7722,3838,37.9,11,2.5,1.1,57.7,0.4,17.3,16.1,23,20.6,27.7,49.7021497021497,135313,20.900000000000002,below_median_poc_other
06037430003,1,0.9174311926605505,109,"Los Angeles County, Census Tract 4300.03",132,4553,2167,48.4,43.2,3.8,1.3,23.5,0.2,10.3,14,14.5,16.799999999999997,31.200000000000003,47.594992312760816,114654,15.4,below_median_poc_other
06059074802,20,4.184100418410042,478,"Orange County, Census Tract 748.02",673,6348,3245,30.5,14.7,0.9,4.3,4,0.1,61.5,23.4,25.799999999999997,20,23.5,51.118462507876494,58088,66.7,above_median_poc_other
06099000405,1,1.1111111111111112,90,"Stanislaus County, Census Tract 4.05",343,2613,1345,37.6,52.5,1.6,1.7,2.4,0.3,26.9,23,18.7,18.1,24.9,51.473402219670874,59135,30.2,above_median_poc_other
06037264305,2,3.9215686274509802,51,"Los Angeles County, Census Tract 2643.05",108,3712,1683,39.5,80.1,1,0,8.8,0,1.4,10.4,19.299999999999997,26.5,21.999999999999996,45.33943965517241,85493,2.4,below_median_poc_other
06037480303,1,0.5524861878453038,181,"Los Angeles County, Census Tract 4803.03",262,3806,1780,37,16.2,3.2,1.3,45,0.1,22,13.8,22,25.8,25.9,46.768260641093015,70938,26.5,above_median_poc_other
06037189905,1,1.8867924528301887,53,"Los Angeles County, Census Tract 1899.05",41,2462,1296,38.2,71.1,5.8,0.4,5.6,0.3,6.8,5.4,19.6,38.6,20.699999999999996,52.64012997562957,72471,13,below_median_poc_other
